Γùç injected env (2) from .env // tip: Γùê secrets for agents [www.dotenvx.com]
Server running on http://localhost:3000
2026-06-12T07:52:15.383Z - GET /src/pages/Dashboard.tsx
2026-06-12T07:52:15.383Z - GET /src/pages/WhatIfSimulator.tsx
2026-06-12T07:52:15.384Z - GET /src/pages/Missions.tsx
2026-06-12T07:52:15.385Z - GET /src/pages/Profile.tsx
2026-06-12T07:52:15.385Z - GET /src/pages/ActionPlan.tsx
2026-06-12T07:52:15.385Z - GET /src/pages/Insights.tsx
2026-06-12T07:52:15.385Z - GET /src/pages/FootprintBreakdown.tsx
2026-06-12T07:52:15.386Z - GET /src/pages/DetailedAnalysis.tsx
2026-06-12T07:52:15.387Z - GET /src/pages/Chat.tsx
2026-06-12T07:52:15.387Z - GET /src/pages/Login.tsx
2026-06-12T07:52:15.387Z - GET /src/pages/Leaderboard.tsx
2026-06-12T07:52:15.388Z - GET /src/pages/ActivityHistory.tsx
[2m1:22:15 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:52:15.390Z - GET /src/pages/Settings.tsx
2026-06-12T07:52:15.390Z - GET /src/store.ts
2026-06-12T07:52:15.391Z - GET /src/components/auth/AuthContext.tsx
2026-06-12T07:52:15.391Z - GET /src/components/layout/Sidebar.tsx
2026-06-12T07:52:15.392Z - GET /src/components/layout/MobileNav.tsx
2026-06-12T07:52:15.392Z - GET /src/components/ui/card.tsx
2026-06-12T07:52:15.392Z - GET /src/components/ui/button.tsx
2026-06-12T07:52:15.393Z - GET /src/components/ui/slider.tsx
2026-06-12T07:52:15.394Z - GET /src/components/ui/label.tsx
2026-06-12T07:52:15.395Z - GET /src/components/ui/progress.tsx
2026-06-12T07:52:15.395Z - GET /src/lib/report-generator.ts
2026-06-12T07:52:15.396Z - GET /src/components/layout/NotificationsPopover.tsx
2026-06-12T07:52:15.396Z - GET /src/components/dashboard/HabitManager.tsx
2026-06-12T07:52:15.397Z - GET /src/components/dashboard/ActionModal.tsx
